,n_mfcc,max_freq,frame_length,hop_length,window_type
0,110,5000,880,55,triang
1,124,7000,880,55,bartlett
2,36,8500,880,55,bartlett
3,76,6000,880,55,bartlett
4,46,5500,880,55,hamming
5,52,5500,880,55,bartlett
6,76,6500,880,55,bartlett
7,86,6500,880,55,bartlett
8,118,4500,880,55,bartlett
9,68,9500,880,55,bartlett
10,126,5500,880,220,hamming
11,124,4500,880,220,hamming
12,60,6500,880,55,bartlett
13,110,4000,880,220,hamming
14,42,5000,880,55,bartlett
15,116,5500,880,220,hamming
16,112,3500,880,55,bartlett
17,128,8500,880,220,hamming
18,108,6000,880,55,hann
19,110,9000,880,55,bartlett
20,70,7500,880,110,bartlett
21,56,5000,880,55,bartlett
22,80,8000,880,55,bartlett
23,78,6000,880,55,bartlett
24,94,5000,880,55,triang
25,38,7500,880,55,bartlett
26,114,7500,880,55,hann
27,96,3500,880,110,bartlett
28,122,5500,880,55,triang
29,110,3000,440,55,hann
30,112,6500,880,55,triang
31,120,8000,880,220,hamming
32,128,5000,880,220,hamming
33,76,6000,880,55,bartlett
34,56,9000,880,55,triang
35,94,5000,880,110,bartlett
36,46,6500,880,55,triang
37,104,4000,880,55,bartlett
38,126,4500,880,55,triang
39,88,4500,880,110,bartlett
40,122,4500,880,110,bartlett
41,64,6500,880,55,bartlett
42,126,8500,880,55,triang
43,54,2500,880,110,lanczos
44,124,4500,880,55,triang
45,98,5500,880,110,hamming
46,120,7000,880,55,bartlett
47,86,5000,880,55,bartlett
48,30,5500,880,55,tukey
49,88,8500,880,55,triang
50,80,3500,880,220,hamming
51,106,5500,880,55,triang
52,100,5500,880,55,lanczos
53,16,9500,880,55,bartlett
54,96,7500,880,55,bartlett
55,62,9000,880,110,bartlett
56,120,9500,880,55,tukey
57,128,6000,880,55,triang
58,128,5500,880,220,hamming
59,114,8500,880,55,triang
60,106,7500,880,220,bartlett
61,112,4500,880,110,bartlett
62,118,6000,880,55,tukey
63,48,8000,880,55,lanczos
64,106,10000,880,55,triang
65,124,6500,880,220,triang
66,116,7500,440,110,bartlett
67,68,9500,440,55,bartlett
68,100,8500,880,55,lanczos
69,96,6500,880,220,hann
70,22,10000,880,55,hann
71,56,8000,880,55,tukey
72,72,5000,880,55,lanczos
73,100,3500,880,220,hamming
74,24,6000,880,55,triang
75,110,8000,880,55,triang
76,118,7000,880,55,bartlett
77,98,7000,880,55,triang
78,108,8000,880,55,tukey
79,32,8000,880,55,bartlett
80,40,6000,880,55,bartlett
81,86,5000,880,110,hamming
82,60,9000,880,55,lanczos
83,108,8000,880,55,hamming
84,102,6000,880,55,bartlett
85,26,6500,880,110,triang
86,74,4000,880,55,bartlett
87,90,5000,880,55,bartlett
88,122,7000,880,110,hann
89,58,4500,880,220,triang
90,66,9000,880,55,hann
91,124,7000,880,220,bartlett
92,102,6000,440,55,triang
93,114,5500,880,55,lanczos
94,18,6000,880,55,bartlett
95,92,6000,880,55,tukey
96,74,10000,880,55,triang
97,48,3500,880,110,bartlett
98,92,9500,880,55,hann
99,124,2500,880,220,bartlett
100,94,5000,880,110,tukey
101,126,6500,440,55,bartlett
102,40,5500,880,55,hann
103,34,8500,880,55,bartlett
104,56,2000,440,220,hamming
105,104,2000,880,55,hann
106,104,7500,880,440,lanczos
107,112,3000,440,55,bartlett
108,76,8000,440,110,triang
109,106,6500,880,220,hamming
110,28,7500,880,55,lanczos
111,98,4000,880,220,hamming
112,64,1500,880,55,lanczos
113,80,3500,880,220,hamming
114,20,2500,880,55,triang
115,54,7500,440,55,bartlett
116,88,4500,880,220,hamming
117,74,5000,880,220,hamming
118,18,6500,880,440,lanczos
119,26,8000,880,440,triang
120,84,6500,880,440,hann
121,10,6000,880,55,bartlett
122,94,4000,880,440,bartlett
123,104,4000,880,440,triang
124,66,4000,880,440,triang
125,14,8500,880,55,triang
126,118,9000,440,55,hamming
127,50,6000,440,55,bartlett
128,64,7500,440,110,bartlett
129,72,6000,440,220,bartlett
130,88,9500,880,220,hamming
131,126,4500,440,55,lanczos
132,44,7500,440,55,triang
133,38,5500,880,55,tukey
134,84,10000,880,440,hann
135,34,9000,440,55,bartlett
136,34,5000,880,110,bartlett
137,28,3000,880,220,hann
138,82,6500,880,55,hamming
139,108,4000,880,55,bartlett
140,62,7000,880,55,bartlett
141,128,8500,880,55,tukey
142,82,5000,880,55,triang
143,52,3500,880,220,hamming
144,78,6500,880,55,triang
145,120,7000,880,55,bartlett
146,116,9000,880,110,tukey
147,84,3000,880,110,triang
148,38,7500,880,440,hann
149,10,8500,880,110,triang
150,66,7000,440,55,lanczos
151,98,8000,880,55,bartlett
152,48,7000,880,55,bartlett
153,62,8500,880,55,lanczos
154,72,7000,880,55,bartlett
155,118,2000,880,220,triang
156,10,7000,440,110,hann
157,22,8500,880,55,tukey
158,100,8000,880,55,bartlett
159,36,7000,440,110,triang
160,84,9500,880,55,hann
161,58,2000,880,440,bartlett
162,90,7000,440,55,tukey
163,114,3500,880,220,bartlett
164,20,9500,880,55,lanczos
165,116,7000,880,55,tukey
166,52,7000,880,55,tukey
167,12,4000,880,55,tukey
168,42,8000,440,110,lanczos
169,122,4500,440,440,hamming
170,64,6000,440,110,tukey
171,114,5000,880,220,tukey
172,122,2500,880,440,hann
173,70,5500,440,220,tukey
174,50,4500,440,440,bartlett
175,92,10000,440,440,bartlett
176,14,2000,880,440,hann
177,18,9000,880,110,triang
178,80,6500,880,220,hann
179,70,1000,880,55,tukey
180,44,7500,880,220,triang
181,58,4500,440,440,bartlett
182,82,6500,440,440,triang
183,30,5500,440,220,hamming
184,14,8000,440,55,bartlett
185,44,8500,440,440,lanczos
186,120,7000,880,440,hamming
187,86,7500,880,440,bartlett
188,90,9000,880,440,triang
189,78,7000,880,440,bartlett
190,102,6000,880,440,lanczos
191,108,3000,440,55,triang
192,30,7500,440,440,bartlett
193,116,3000,440,55,bartlett
194,60,1000,440,55,hann
195,42,1500,440,440,lanczos
196,104,2500,440,220,lanczos
197,102,1500,440,440,hann
198,46,10000,440,440,triang
199,38,1500,440,440,tukey
